text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
For fucks sake #Democrats get off your fucking asses. https://t.co/sigdSlGzMy,FALSE,0,NA,2020-11-19T19:59:15Z,FALSE,NA,1329514596344999936,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MP4Humanity,0,FALSE,FALSE,NA,NA
If you can’t see that a political party will do anything to control the American way of life then my friend you are… https://t.co/HHHL3u1f1j,FALSE,0,NA,2020-11-19T19:58:23Z,TRUE,NA,1329514378379612162,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Mudder111,0,FALSE,FALSE,NA,NA
"@nytimes we should Make #WORLD FREE FROM  #Globalists  Again ! 
The head of the #CIA will be fired in the coming ho… https://t.co/X6SW2fV2Ju",FALSE,0,nytimes,2020-11-19T19:58:20Z,TRUE,1328834055257911298,1329514365217812493,807095,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",yyoo11122,0,FALSE,FALSE,NA,NA
#Democrats know what’s going on.... https://t.co/BrUZgOpHSq,FALSE,0,NA,2020-11-19T19:57:28Z,FALSE,NA,1329514147512369154,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jbaumgar,0,FALSE,FALSE,NA,NA
"IS THE DEMOCRATIC PARTY STARTING TO CRACK?
#cheated #cheaters #election #joebiden #trump #voting #votes #illegal… https://t.co/FQ6m7OEQnT",FALSE,0,NA,2020-11-19T19:56:56Z,TRUE,NA,1329514011340189698,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",VEMVintage,0,FALSE,FALSE,NA,NA
"That moment when the #Democrats tell us do not have large holiday gatherings due to #COVID-19 but, are having mass… https://t.co/nzJmLt5KP8",FALSE,0,NA,2020-11-19T19:56:52Z,TRUE,NA,1329513998090260480,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DemonEvilMuscle,0,FALSE,FALSE,NA,NA
"RT @ToutSuiteSinner: Can we talk for a second about the mute #Democrats?

Have we heard a bloody word from them, outraged about #LindseyGra…",FALSE,0,NA,2020-11-19T19:56:34Z,FALSE,NA,1329513921645060097,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",xtrmfire,1,TRUE,FALSE,NA,NA
"@nytimes we should Make #WORLD FREE FROM  #Globalists  Again ! 
The head of the #CIA will be fired in the coming ho… https://t.co/MU5rCL6e5C",FALSE,0,nytimes,2020-11-19T19:56:26Z,TRUE,1328834585367629826,1329513886991708162,807095,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",yyoo11122,0,FALSE,FALSE,NA,NA
"@nytimes we should Make #WORLD FREE FROM  #Globalists  Again ! 
The head of the #CIA will be fired in the coming ho… https://t.co/tyJqx6Brcz",FALSE,0,nytimes,2020-11-19T19:56:17Z,TRUE,1328834297567076354,1329513850568380418,807095,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",yyoo11122,0,FALSE,FALSE,NA,NA
@HazeyDaisey17 @BillKristol #Democrats are so corrupt. They even believe their own lies.,FALSE,0,HazeyDaisey17,2020-11-19T19:56:17Z,FALSE,1329496547806109697,1329513850081775621,1265441587607322626,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RupertaMargate,0,FALSE,FALSE,NA,NA
